dates,stationid,dispx,dispy,dispz,temperature,humidity,rain
08-07-2018,t10,0,0,0,25.46875,82.1875,6.75
09-07-2018,t10,0,0,0,26.19298,83.14912,1761.75
10-07-2018,t10,0,0,0,25.17021,85.34043,652.5
11-07-2018,t10,-0.00283509,0.0037210556,0.0049614075,24.29851,87.68657,963
12-07-2018,t10,-0.00283509,0.0037210556,0.0049614075,24.06923,87.64615,254.25
13-07-2018,t10,-0.00283509,0.0037210556,0.0049614075,21.20779,95.94805,339.75
15-07-2018,t10,-0.00283509,-0.0203772094,-0.1226176425,23.48571,96.17143,38.25
18-07-2018,t10,-0.00283509,-0.0203772094,-0.1226176425,21.79487,98.58974,29.25
19-07-2018,t10,0.0077964975,0.0118719394,-0.1112772825,25.09346,88.3271,4.5
20-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,25.39423,90.43269,112.5
21-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,23.89076,94.53782,735.75
22-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,22.5098,99,607.5
23-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,22.904,98,717.75
24-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,21.72464,99,513
25-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,23.18182,98.9697,195.75
26-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,21.24272,99,474.75
27-07-2018,t10,0.0092140425,0.0111631669,-0.1013544675,21.62791,99,409.5
28-07-2018,t10,0.0567018,-0.0037210556,-0.1084421925,20.90511,99,1161
29-07-2018,t10,0.0567018,-0.0037210556,-0.1084421925,23.66667,97.80142,0
30-07-2018,t10,0.0567018,-0.0037210556,-0.1084421925,24.53077,92.9,0
31-07-2018,t10,0.0567018,-0.0037210556,-0.1084421925,23.40714,98.97857,240.75
01-08-2018,t10,0.0567018,-0.0037210556,-0.1084421925,22.88652,98.68794,398.25
02-08-2018,t10,0.0567018,-0.0037210556,-0.1084421925,20,99,2.25
