Date,pm2.5
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-1,0
2010-1-2,129
2010-1-2,148
2010-1-2,159
2010-1-2,181
2010-1-2,138
2010-1-2,109
2010-1-2,105
2010-1-2,124
2010-1-2,120
2010-1-2,132
2010-1-2,140
2010-1-2,152
2010-1-2,148
2010-1-2,164
2010-1-2,158
2010-1-2,154
2010-1-2,159
2010-1-2,164
2010-1-2,170
2010-1-2,149
2010-1-2,154
2010-1-2,164
2010-1-2,156
2010-1-2,126
2010-1-3,90
2010-1-3,63
2010-1-3,65
2010-1-3,55
2010-1-3,65
2010-1-3,83
2010-1-3,91
2010-1-3,86
2010-1-3,82
2010-1-3,86
2010-1-3,78
2010-1-3,98
2010-1-3,107
2010-1-3,90
2010-1-3,96
2010-1-3,95
2010-1-3,86
2010-1-3,70
2010-1-3,61
2010-1-3,53
2010-1-3,71
2010-1-3,72
2010-1-3,76
2010-1-3,73
2010-1-4,79
2010-1-4,58
2010-1-4,25
2010-1-4,26
2010-1-4,28
2010-1-4,26
2010-1-4,20
2010-1-4,29
2010-1-4,26
2010-1-4,27
2010-1-4,27
2010-1-4,25
2010-1-4,29
2010-1-4,32
2010-1-4,28
2010-1-4,29
2010-1-4,30
2010-1-4,30
2010-1-4,28
2010-1-4,26
2010-1-4,31
2010-1-4,33
2010-1-4,29
2010-1-4,31
2010-1-5,30
2010-1-5,34
2010-1-5,27
2010-1-5,25
2010-1-5,28
2010-1-5,28
2010-1-5,27
2010-1-5,27
2010-1-5,27
2010-1-5,29
2010-1-5,36
2010-1-5,30
2010-1-5,27
2010-1-5,39
2010-1-5,41
2010-1-5,33
2010-1-5,50
2010-1-5,56
2010-1-5,59
2010-1-5,60
2010-1-5,84
2010-1-5,106
2010-1-5,66
2010-1-5,50
2010-1-6,56
2010-1-6,77
2010-1-6,50
2010-1-6,44
2010-1-6,27
2010-1-6,28
2010-1-6,21
2010-1-6,25
2010-1-6,20
2010-1-6,29
2010-1-6,34
2010-1-6,42
2010-1-6,28
2010-1-6,36
2010-1-6,48
2010-1-6,49
2010-1-6,52
2010-1-6,56
2010-1-6,96
2010-1-6,75
2010-1-6,105
2010-1-6,132
2010-1-6,93
2010-1-6,131
2010-1-7,127
2010-1-7,130
2010-1-7,43
2010-1-7,37
2010-1-7,30
2010-1-7,28
2010-1-7,24
2010-1-7,23
2010-1-7,24
2010-1-7,27
2010-1-7,40
2010-1-7,42
2010-1-7,42
2010-1-7,55
2010-1-7,52
2010-1-7,51
2010-1-7,57
2010-1-7,50
2010-1-7,54
2010-1-7,67
2010-1-7,106
2010-1-7,159
2010-1-7,198
2010-1-7,190
2010-1-8,210
2010-1-8,195
2010-1-8,275
2010-1-8,164
2010-1-8,110
2010-1-8,100
2010-1-8,81
2010-1-8,71
2010-1-8,66
2010-1-8,92
2010-1-8,135
2010-1-8,155
2010-1-8,198
2010-1-8,250
2010-1-8,200
2010-1-8,231
2010-1-8,250
2010-1-8,212
2010-1-8,219
2010-1-8,227
2010-1-8,226
2010-1-8,225
2010-1-8,168
2010-1-8,169
2010-1-9,165
2010-1-9,159
2010-1-9,167
2010-1-9,196
2010-1-9,169
2010-1-9,155
2010-1-9,119
2010-1-9,106
2010-1-9,93
2010-1-9,84
2010-1-9,73
2010-1-9,66
2010-1-9,40
2010-1-9,49
2010-1-9,50
2010-1-9,49
2010-1-9,41
2010-1-9,37
2010-1-9,45
2010-1-9,44
2010-1-9,54
2010-1-9,50
2010-1-9,47
2010-1-9,66
2010-1-10,75
2010-1-10,82
2010-1-10,66
2010-1-10,83
2010-1-10,62
2010-1-10,40
2010-1-10,23
2010-1-10,25
2010-1-10,27
2010-1-10,35
2010-1-10,50
2010-1-10,70
2010-1-10,75
2010-1-10,58
2010-1-10,70
2010-1-10,68
2010-1-10,71
2010-1-10,88
2010-1-10,84
2010-1-10,83
2010-1-10,66
2010-1-10,27
2010-1-10,24
2010-1-10,22
2010-1-11,23
2010-1-11,27
2010-1-11,23
2010-1-11,17
2010-1-11,17
2010-1-11,16
2010-1-11,16
2010-1-11,20
2010-1-11,20
2010-1-11,18
2010-1-11,25
2010-1-11,26
2010-1-11,27
2010-1-11,28
2010-1-11,15
2010-1-11,24
2010-1-11,13
2010-1-11,13
2010-1-11,13
2010-1-11,17
2010-1-11,20
2010-1-11,27
2010-1-11,20
2010-1-11,15
2010-1-12,21
2010-1-12,21
2010-1-12,37
2010-1-12,26
2010-1-12,15
2010-1-12,9
2010-1-12,11
2010-1-12,11
2010-1-12,16
2010-1-12,13
2010-1-12,15
2010-1-12,21
2010-1-12,24
2010-1-12,22
2010-1-12,22
2010-1-12,22
2010-1-12,19
2010-1-12,23
2010-1-12,25
2010-1-12,25
2010-1-12,31
2010-1-12,25
2010-1-12,22
2010-1-12,22
2010-1-13,15
2010-1-13,16
2010-1-13,11
2010-1-13,11
2010-1-13,12
2010-1-13,11
2010-1-13,12
2010-1-13,27
2010-1-13,28
2010-1-13,34
2010-1-13,33
2010-1-13,36
2010-1-13,26
2010-1-13,49
2010-1-13,52
2010-1-13,47
2010-1-13,47
2010-1-13,39
2010-1-13,59
2010-1-13,76
2010-1-13,96
2010-1-13,95
2010-1-13,68
2010-1-13,65
2010-1-14,75
2010-1-14,257
2010-1-14,174
2010-1-14,164
2010-1-14,161
2010-1-14,137
2010-1-14,92
2010-1-14,64
2010-1-14,87
2010-1-14,87
2010-1-14,84
2010-1-14,95
2010-1-14,79
2010-1-14,75
2010-1-14,79
2010-1-14,86
2010-1-14,72
2010-1-14,89
2010-1-14,94
2010-1-14,69
2010-1-14,49
2010-1-14,33
2010-1-14,27
2010-1-14,20
2010-1-15,36
2010-1-15,37
2010-1-15,30
2010-1-15,18
2010-1-15,21
2010-1-15,13
2010-1-15,23
2010-1-15,26
2010-1-15,27
2010-1-15,30
2010-1-15,28
2010-1-15,26
2010-1-15,26
2010-1-15,31
2010-1-15,35
2010-1-15,36
2010-1-15,37
2010-1-15,64
2010-1-15,83
2010-1-15,91
2010-1-15,90
2010-1-15,102
2010-1-15,94
2010-1-15,87
2010-1-16,141
2010-1-16,211
2010-1-16,242
2010-1-16,271
2010-1-16,249
2010-1-16,200
2010-1-16,147
2010-1-16,114
2010-1-16,102
2010-1-16,108
2010-1-16,135
2010-1-16,120
2010-1-16,148
2010-1-16,127
2010-1-16,128
2010-1-16,140
2010-1-16,148
2010-1-16,150
2010-1-16,154
2010-1-16,197
2010-1-16,235
2010-1-16,261
2010-1-16,269
2010-1-16,266
2010-1-17,263
2010-1-17,241
2010-1-17,205
2010-1-17,160
2010-1-17,150
2010-1-17,148
2010-1-17,208
2010-1-17,209
2010-1-17,183
2010-1-17,161
2010-1-17,182
2010-1-17,230
2010-1-17,170
2010-1-17,172
2010-1-17,154
2010-1-17,166
2010-1-17,177
2010-1-17,191
2010-1-17,212
2010-1-17,250
2010-1-17,268
2010-1-17,317
2010-1-17,291
2010-1-17,313
2010-1-18,282
2010-1-18,282
2010-1-18,303
2010-1-18,349
2010-1-18,407
2010-1-18,361
2010-1-18,234
2010-1-18,149
2010-1-18,147
2010-1-18,184
2010-1-18,161
2010-1-18,137
2010-1-18,146
2010-1-18,144
2010-1-18,154
2010-1-18,173
2010-1-18,188
2010-1-18,203
2010-1-18,233
2010-1-18,408
2010-1-18,435
2010-1-18,403
2010-1-18,360
2010-1-18,402
2010-1-19,358
2010-1-19,383
2010-1-19,332
2010-1-19,274
2010-1-19,256
2010-1-19,302
2010-1-19,330
2010-1-19,367
2010-1-19,297
2010-1-19,331
2010-1-19,323
2010-1-19,339
2010-1-19,301
2010-1-19,310
2010-1-19,305
2010-1-19,313
2010-1-19,336
2010-1-19,357
2010-1-19,485
2010-1-19,426
2010-1-19,403
2010-1-19,374
2010-1-19,333
2010-1-19,343
2010-1-20,364
2010-1-20,389
2010-1-20,368
2010-1-20,267
2010-1-20,71
2010-1-20,81
2010-1-20,51
2010-1-20,49
2010-1-20,44
2010-1-20,45
2010-1-20,35
2010-1-20,29
2010-1-20,27
2010-1-20,29
2010-1-20,16
2010-1-20,23
2010-1-20,28
2010-1-20,22
2010-1-20,11
2010-1-20,25
2010-1-20,16
2010-1-20,20
2010-1-20,20
2010-1-20,18
2010-1-21,18
2010-1-21,17
2010-1-21,17
2010-1-21,17
2010-1-21,15
2010-1-21,19
2010-1-21,16
2010-1-21,18
2010-1-21,18
2010-1-21,18
2010-1-21,26
2010-1-21,26
2010-1-21,25
2010-1-21,24
2010-1-21,15
2010-1-21,17
2010-1-21,15
2010-1-21,21
2010-1-21,40
2010-1-21,51
2010-1-21,45
2010-1-21,61
2010-1-21,72
2010-1-21,38
2010-1-22,35
2010-1-22,29
2010-1-22,26
2010-1-22,18
2010-1-22,15
2010-1-22,15
2010-1-22,22
2010-1-22,21
2010-1-22,19
2010-1-22,22
2010-1-22,25
2010-1-22,22
2010-1-22,26
2010-1-22,32
2010-1-22,30
2010-1-22,32
2010-1-22,30
2010-1-22,32
2010-1-22,37
2010-1-22,49
2010-1-22,47
2010-1-22,39
2010-1-22,35
2010-1-22,48
2010-1-23,49
2010-1-23,24
2010-1-23,23
2010-1-23,20
2010-1-23,19
2010-1-23,16
2010-1-23,22
2010-1-23,24
2010-1-23,24
2010-1-23,41
2010-1-23,23
2010-1-23,19
2010-1-23,15
2010-1-23,19
2010-1-23,17
2010-1-23,17
2010-1-23,22
2010-1-23,0
2010-1-23,0
